name,version,license,ecosystem
@babel/helper-string-parser,7.29.7,MIT,npm
@babel/helper-validator-identifier,7.29.7,MIT,npm
@babel/parser,7.29.8,MIT,npm
@babel/types,7.29.8,MIT,npm
@cfcs/core,0.0.24,MIT,npm
@cfcs/core,0.1.0,MIT,npm
@cfcs/vue3,0.1.0,MIT,npm
@egjs/agent,2.4.4,MIT,npm
@egjs/axes,3.9.2,MIT,npm
@egjs/component,3.0.5,MIT,npm
@egjs/flicking,4.17.0,MIT,npm
@egjs/flicking-plugins,4.8.1,MIT,npm
@egjs/imready,1.4.2,MIT,npm
@egjs/list-differ,1.0.1,MIT,npm
@egjs/vue3-flicking,4.17.0,MIT,npm
@esbuild/aix-ppc64,0.25.12,MIT,npm
@esbuild/android-arm,0.25.12,MIT,npm
@esbuild/android-arm64,0.25.12,MIT,npm
@esbuild/android-x64,0.25.12,MIT,npm
@esbuild/darwin-arm64,0.25.12,MIT,npm
@esbuild/darwin-x64,0.25.12,MIT,npm
@esbuild/freebsd-arm64,0.25.12,MIT,npm
@esbuild/freebsd-x64,0.25.12,MIT,npm
@esbuild/linux-arm,0.25.12,MIT,npm
@esbuild/linux-arm64,0.25.12,MIT,npm
@esbuild/linux-ia32,0.25.12,MIT,npm
@esbuild/linux-loong64,0.25.12,MIT,npm
@esbuild/linux-mips64el,0.25.12,MIT,npm
@esbuild/linux-ppc64,0.25.12,MIT,npm
@esbuild/linux-riscv64,0.25.12,MIT,npm
@esbuild/linux-s390x,0.25.12,MIT,npm
@esbuild/linux-x64,0.25.12,MIT,npm
@esbuild/netbsd-arm64,0.25.12,MIT,npm
@esbuild/netbsd-x64,0.25.12,MIT,npm
@esbuild/openbsd-arm64,0.25.12,MIT,npm
@esbuild/openbsd-x64,0.25.12,MIT,npm
@esbuild/openharmony-arm64,0.25.12,MIT,npm
@esbuild/sunos-x64,0.25.12,MIT,npm
@esbuild/win32-arm64,0.25.12,MIT,npm
@esbuild/win32-ia32,0.25.12,MIT,npm
@esbuild/win32-x64,0.25.12,MIT,npm
@fontsource/inter,5.3.0,OFL-1.1,npm
@fontsource/open-sans,5.3.0,OFL-1.1,npm
@fontsource/roboto,5.3.0,OFL-1.1,npm
@jridgewell/gen-mapping,0.3.13,MIT,npm
@jridgewell/remapping,2.3.5,MIT,npm
@jridgewell/resolve-uri,3.1.2,MIT,npm
@jridgewell/sourcemap-codec,1.5.5,MIT,npm
@jridgewell/trace-mapping,0.3.31,MIT,npm
@lit-labs/ssr-dom-shim,1.6.0,BSD-3-Clause,npm
@lit/reactive-element,2.1.2,BSD-3-Clause,npm
@lottiefiles/dotlottie-wc,0.9.28,MIT,npm
@lottiefiles/dotlottie-web,0.80.0,MIT,npm
@parcel/watcher,2.5.6,MIT,npm
@parcel/watcher-android-arm64,2.5.6,MIT,npm
@parcel/watcher-darwin-arm64,2.5.6,MIT,npm
@parcel/watcher-darwin-x64,2.5.6,MIT,npm
@parcel/watcher-freebsd-x64,2.5.6,MIT,npm
@parcel/watcher-linux-arm-glibc,2.5.6,MIT,npm
@parcel/watcher-linux-arm-musl,2.5.6,MIT,npm
@parcel/watcher-linux-arm64-glibc,2.5.6,MIT,npm
@parcel/watcher-linux-arm64-musl,2.5.6,MIT,npm
@parcel/watcher-linux-x64-glibc,2.5.6,MIT,npm
@parcel/watcher-linux-x64-musl,2.5.6,MIT,npm
@parcel/watcher-win32-arm64,2.5.6,MIT,npm
@parcel/watcher-win32-ia32,2.5.6,MIT,npm
@parcel/watcher-win32-x64,2.5.6,MIT,npm
@rollup/rollup-android-arm-eabi,4.61.1,MIT,npm
@rollup/rollup-android-arm64,4.61.1,MIT,npm
@rollup/rollup-darwin-arm64,4.61.1,MIT,npm
@rollup/rollup-darwin-x64,4.61.1,MIT,npm
@rollup/rollup-freebsd-arm64,4.61.1,MIT,npm
@rollup/rollup-freebsd-x64,4.61.1,MIT,npm
@rollup/rollup-linux-arm-gnueabihf,4.61.1,MIT,npm
@rollup/rollup-linux-arm-musleabihf,4.61.1,MIT,npm
@rollup/rollup-linux-arm64-gnu,4.61.1,MIT,npm
@rollup/rollup-linux-arm64-musl,4.61.1,MIT,npm
@rollup/rollup-linux-loong64-gnu,4.61.1,MIT,npm
@rollup/rollup-linux-loong64-musl,4.61.1,MIT,npm
@rollup/rollup-linux-ppc64-gnu,4.61.1,MIT,npm
@rollup/rollup-linux-ppc64-musl,4.61.1,MIT,npm
@rollup/rollup-linux-riscv64-gnu,4.61.1,MIT,npm
@rollup/rollup-linux-riscv64-musl,4.61.1,MIT,npm
@rollup/rollup-linux-s390x-gnu,4.61.1,MIT,npm
@rollup/rollup-linux-x64-gnu,4.61.1,MIT,npm
@rollup/rollup-linux-x64-musl,4.61.1,MIT,npm
@rollup/rollup-openbsd-x64,4.61.1,MIT,npm
@rollup/rollup-openharmony-arm64,4.61.1,MIT,npm
@rollup/rollup-win32-arm64-msvc,4.61.1,MIT,npm
@rollup/rollup-win32-ia32-msvc,4.61.1,MIT,npm
@rollup/rollup-win32-x64-gnu,4.61.1,MIT,npm
@rollup/rollup-win32-x64-msvc,4.61.1,MIT,npm
@types/trusted-types,2.0.7,MIT,npm
@types/web-bluetooth,0.0.21,MIT,npm
@unhead/bundler,3.4.0,MIT,npm
@unhead/vue,3.4.0,MIT,npm
@vue/compiler-core,3.5.42,MIT,npm
@vue/compiler-dom,3.5.42,MIT,npm
@vue/compiler-sfc,3.5.42,MIT,npm
@vue/compiler-ssr,3.5.42,MIT,npm
@vue/devtools-api,6.6.4,MIT,npm
@vue/devtools-api,7.7.9,MIT,npm
@vue/devtools-kit,7.7.9,MIT,npm
@vue/devtools-shared,7.7.9,MIT,npm
@vue/reactivity,3.5.42,MIT,npm
@vue/runtime-core,3.5.42,MIT,npm
@vue/runtime-dom,3.5.42,MIT,npm
@vue/server-renderer,3.5.42,MIT,npm
@vue/shared,3.5.42,MIT,npm
@vueuse/components,14.4.0,MIT,npm
@vueuse/core,14.4.0,MIT,npm
@vueuse/metadata,14.4.0,MIT,npm
@vueuse/shared,14.4.0,MIT,npm
anourvalar/eloquent-serialize,1.3.10,MIT,composer
aws/aws-crt-php,v1.2.7,Apache-2.0,composer
aws/aws-sdk-php,3.394.9,Apache-2.0,composer
bacon/bacon-qr-code,v3.1.1,BSD-2-Clause,composer
bezhansalleh/filament-language-switch,3.1.1,MIT,composer
birpc,2.9.0,MIT,npm
blade-ui-kit/blade-heroicons,2.7.0,MIT,composer
blade-ui-kit/blade-icons,1.10.0,MIT,composer
brick/math,0.14.8,MIT,composer
carbonphp/carbon-doctrine-types,3.2.1,MIT,composer
chokidar,5.0.0,MIT,npm
cividash,,EUPL-1.2+,npm
codewithdennis/filament-simple-alert,v3.0.21,MIT,composer
copy-anything,4.0.5,MIT,npm
csstype,3.2.3,MIT,npm
danharrin/date-format-converter,v0.3.1,MIT,composer
danharrin/livewire-rate-limiting,v2.2.0,MIT,composer
dasprid/enum,1.0.7,BSD-2-Clause,composer
dflydev/dot-access-data,v3.0.3,MIT,composer
doctrine/dbal,4.4.3,MIT,composer
doctrine/deprecations,1.1.6,MIT,composer
doctrine/inflector,2.1.0,MIT,composer
doctrine/lexer,3.0.1,MIT,composer
dompurify,3.4.15,(MPL-2.0 OR Apache-2.0),npm
dragonmantank/cron-expression,v3.6.0,MIT,composer
egulias/email-validator,4.0.4,MIT,composer
